Node A,Node Z,Distance
Abilene,Dallas,336.9509334
Abilene,ElPaso,761.2090776
Albany,Boston,277.0649613
Albany,Syracuse,234.2212201
Albuquerque,Dallas,1133.443119
Albuquerque,Denver,647.7371779
Albuquerque,ElPaso,436.9494668
Albuquerque,LasVegas,943.5364333
Amsterdam,Berlin,690.6082921
Amsterdam,Brussels,210.7287967
Amsterdam,Frankfurt,436.3242408
Amsterdam,NewYork,7035.611036
Atlanta,Birmingham,266.2280948
Atlanta,Charlotte,439.2379644
Atlanta,Jacksonville,554.1108875
Austin,Houston,282.0488176
Austin,SanAntonio,143.5525064
Baltimore,Philadelphia,179.1949651
Baltimore,Pittsburgh,384.8187539
Baltimore,WashingtonDC,67.17947405
Bangkok,Delhi,3505.949664
Bangkok,HongKong,2070.724162
BatonRouge,Houston,500.1517957
BatonRouge,NewOrleans,147.3504058
Beijing,Seoul,1146.124217
Beijing,Shanghai,1284.465391
Berlin,Warsaw,623.0146936
Billings,Bismarck,729.0170987
Billings,Denver,880.041712
Billings,Spokane,848.8579799
Birmingham,Nashville,352.382908
Birmingham,NewOrleans,582.4644304
Bismarck,Minneapolis,738.9401642
Boston,Providence,79.92293577
Brussels,London,381.9130127
Bucharest,Istanbul,528.5804935
Bucharest,Warsaw,1136.200456
Buffalo,Cleveland,336.4337393
Buffalo,Rochester,126.6263824
Charleston,Jacksonville,379.311106
Charleston,Raleigh,430.1818131
Charlotte,Greensboro,159.8834469
Chicago,Detroit,459.1452686
Chicago,Milwaukee,165.3264805
Chicago,Springfield,357.5730073
Cincinnati,Columbus,193.2153767
Cincinnati,Louisville,177.4925816
Cincinnati,WashingtonDC,777.0507392
Cleveland,Columbus,238.9630572
Cleveland,Toledo,191.2436294
Columbus,Pittsburgh,294.7135669
Dallas,Houston,432.7312491
Dallas,LittleRock,553.9582807
Dallas,OklahomaCity,366.9361351
Delhi,Istanbul,5457.525355
Delhi,Mumbai,1402.141042
Denver,Omaha,920.3373588
Denver,SaltLakeCity,731.2717231
Detroit,Toledo,107.2436957
ElPaso,SanAntonio,964.4531908
ElPaso,Tucson,505.7485307
Frankfurt,Vienna,717.0013849
Fresno,LasVegas,496.1990407
Fresno,LosAngeles,386.6707817
Fresno,Oakland,289.9410618
Greensboro,Louisville,690.4091794
Greensboro,Raleigh,131.0972102
Greensboro,Richmond,317.8965469
Hartford,LongIsland,186.2707622
Hartford,Providence,125.5599482
HongKong,Shanghai,1480.405515
HongKong,Sydney,8856.6
HongKong,Taipei,966.1766739
Honolulu,LosAngeles,4921.458828
Honolulu,Sydney,9808.615854
Honolulu,Taipei,9767.012902
Istanbul,Rome,1650.405834
Jacksonville,Orlando,246.5770348
KansasCity,Omaha,314.0322058
KansasCity,StLouis,470.8657976
KansasCity,Tulsa,418.4383844
LasVegas,Phoenix,495.9003239
LasVegas,SaltLakeCity,700.0051286
LittleRock,Memphis,261.3433471
London,Paris,411.6923734
London,WashingtonDC,7079.44686
LongIsland,NewYork,29.36152283
LosAngeles,SanDiego,223.8445086
LosAngeles,SantaBarbara,150.6766134
Louisville,Nashville,295.1182142
Louisville,StLouis,473.8016755
Madrid,Paris,1263.619232
Madrid,Zurich,1497.358313
Memphis,Nashville,377.8363294
Miami,Paris,8829.357704
Miami,Tampa,397.1149107
Miami,WestPalmBeach,129.8250315
Milwaukee,Minneapolis,568.3338475
Minneapolis,Omaha,561.3270039
Mumbai,Rome,7415.84084
Mumbai,Singapore,4692.708049
NewOrleans,Tallahassee,653.3593336
NewYork,Newark,24.21353477
NewYork,Scranton,199.5750874
NewYork,Wilmington,204.1516726
Newark,Philadelphia,136.0604521
Norfolk,Raleigh,298.6558234
Norfolk,Wilmington,383.6690534
Oakland,Sacramento,132.6490217
Oakland,SaltLakeCity,1135.717402
Oakland,SanFrancisco,25.71991716
Oakland,Taipei,12461.707
OklahomaCity,Tulsa,193.3587768
Orlando,WestPalmBeach,275.7928548
Philadelphia,Scranton,193.4089904
Phoenix,SanDiego,574.6750816
Phoenix,Tucson,222.4582756
Pittsburgh,Scranton,473.5653806
Portland,Sacramento,937.7404056
Portland,SaltLakeCity,1221.189289
Portland,Seattle,279.0817311
Portland,Tokyo,9349.706225
Richmond,WashingtonDC,190.1446685
Rochester,Syracuse,145.265921
Rome,Vienna,920.0256056
Rome,Zurich,823.3996782
SanFrancisco,SanJose,77.16267231
SanJose,SantaBarbara,446.9898708
Scranton,Syracuse,223.7750822
Seattle,Spokane,444.2069519
Seoul,Tokyo,1391.084532
Singapore,Sydney,7562.330522
Springfield,StLouis,144.0599684
Taipei,Tokyo,2537.344602
Tallahassee,Tampa,394.0942686
Vienna,Warsaw,669.2971801
